t,umax,urms,band_valid,liq_band,gas_band,n_mixed,dpdx_liq,dpdx_gas,r2_liq,r2_gas,Pc_dynamic,Pc_dynamic_thr085,Pc_dynamic_thr095,jump_in,jump_out,rho_res_liq,rho_res_gas,u_band_max,u_band_ut_rms,m_r,m_b,inj_r,inj_b,inj_m,closure_r,closure_b
1000,0.022848229855298996,0.004711322486400604,1,"[12, 40]","[52, 250]",8,-1.493938059250605e-05,-9.086966360426802e-06,0.992816687641579,0.9750638406443772,0.003031444764240221,0.003031444764240221,0.003038516395665214,0.00048795342445373535,0.00022807717323303223,1.0,1.0,0.018447663635015488,0.003972411155700684,33814.83716826911,6493.390995661972,-349.54622650146484,409.29426711797714,58.00054323673248,-0.38339477057161275,-0.09672854399468633
2000,0.02062244527041912,0.005324512254446745,1,"[12, 45]","[56, 250]",7,-1.1438792720835275e-05,-8.362847498788472e-06,0.9922691249845237,0.9940159321523805,0.0029298657821800744,0.0029298657821800744,0.002943333928508318,0.0004668235778808594,0.00038892030715942383,1.0,1.0,0.02062244527041912,0.003540648380294442,33091.62341485151,7222.188098671798,-1073.1629214286804,1137.9947890043259,61.36005645990372,-0.7863362801872427,-0.19330966747202183
3000,0.02111564204096794,0.005402048118412495,1,"[12, 50]","[61, 250]",7,-9.803046594760083e-06,-8.464170671064933e-06,0.9846042853857928,0.9923206360132376,0.002969620629839076,0.002969620629839076,0.0029831281846949276,0.0005061626434326172,0.00042048096656799316,1.0,1.0,0.02111564204096794,0.0036693813744932413,32326.840480564497,7984.164455440011,-1838.3576231002808,1899.8637130856514,57.557078182697296,-1.198103664777591,-0.3007423543594996
4000,0.02164532244205475,0.005418878048658371,1,"[12, 55]","[66, 250]",7,-8.986151783677268e-06,-8.57162921894432e-06,0.9893127696128686,0.9917029964849068,0.002967764421522745,0.002967764421522745,0.0029857410949698515,0.000516742467880249,0.00041797757148742676,1.0,1.0,0.02164532244205475,0.0037117362953722477,31555.781091489647,8749.033675075265,-2609.8179619312286,2664.6155094504356,50.91322302818298,-1.5990534208758618,-0.4181656248292711
5000,0.021740445867180824,0.0054329619742929935,1,"[12, 60]","[71, 250]",7,-1.0240897439221814e-05,-8.648995316226716e-06,0.9974724999936913,0.9961275513845932,0.0029816435793915685,0.0029816435793915685,0.0029940027792390023,0.0004583299160003662,0.00041106343269348145,1.0,1.0,0.021740445867180824,0.003980330657213926,30783.264596584697,9514.858441019169,-3382.724949359894,3430.3150457143784,44.00713950395584,-1.9895459445906454,-0.5433953047904652
6000,0.02213153801858425,0.005436470732092857,1,"[12, 65]","[76, 250]",7,-1.0451695127386027e-05,-8.600650478216234e-06,0.9840441366803324,0.9954029155654648,0.0029593145498013618,0.0029593145498013618,0.002971851859324637,0.00042364001274108887,0.0004127323627471924,1.0,1.0,0.018762478604912758,0.0039314934983849525,30010.21767831623,10281.03800753266,-4156.153735637665,4196.358368694782,37.02112889289856,-2.3714139538933523,-0.6796388378770644
7000,0.02250419370830059,0.00543940719217062,1,"[12, 70]","[81, 250]",7,-9.354647298138833e-06,-8.57660972664853e-06,0.9533169061958211,0.992957444663592,0.002919893847958266,0.002919893847958266,0.002925840831683346,0.000443875789642334,0.0004138946533203125,1.0,1.0,0.01860714517533779,0.003950328566133976,29236.676960288565,11047.312366267754,-4930.065142631531,4962.484934747219,29.669026255607605,-2.742102920095931,-0.8274315205344465
8000,0.02281460352241993,0.005442583933472633,1,"[12, 74]","[86, 250]",8,-8.806157366084365e-06,-8.633379041868312e-06,0.9542993695560266,0.9911183993443459,0.0029118717945722516,0.0029181335623128524,0.0029237462875027487,0.00046125054359436035,0.0004105567932128906,1.0,1.0,0.01853346824645996,0.004033367615193129,28462.617801375345,11814.009151193959,-5704.475046992302,5729.0222626924515,22.22207748889923,-3.0928483676470933,-0.9868885015075648
9000,0.02302742190659046,0.0054459176026284695,1,"[12, 79]","[91, 250]",8,-8.67882566712886e-06,-8.669615962751663e-06,0.9814734751740094,0.9909481383196882,0.0029178558352859763,0.0029178558352859763,0.0029292854262645274,0.00047081708908081055,0.00040903687477111816,1.0,1.0,0.0191479679197073,0.003969727084040642,27688.18938161275,12581.225824634412,-6479.23636507988,6496.067900717258,14.888504445552826,-3.4257466926283087,-1.1579239171533118
10000,0.02322755940258503,0.005447516217827797,1,"[12, 84]","[96, 250]",8,-8.025270534469313e-06,-8.667333698119108e-06,0.9708503427589384,0.9923692118677729,0.0028992381085867214,0.0028992381085867214,0.002909644866006811,0.0005016922950744629,0.0004086792469024658,1.0,1.0,0.019891830161213875,0.003957753069698811,26913.402348955344,13348.651013117733,-7254.356221318245,7263.3100281357765,7.317456960678101,-3.7585702735887025,-1.3409849819563533
