t,x_vol,x_cross
250,42.163124593098956,40.0
500,42.63991088867188,40.0
750,43.21536865234375,41.0
1000,43.76336873372396,41.0
1250,44.28323771158854,42.0
1500,44.7721435546875,42.0
1750,45.32015584309896,43.0
2000,45.98450520833333,43.0
2250,46.79713541666667,44.0
2500,47.673868815104164,45.0
2750,48.54486083984375,46.0
3000,49.39479166666667,47.0
3250,50.22608235677083,48.0
3500,51.06056315104167,48.0
3750,51.91813557942708,49.0
4000,52.811474609375,50.0
4250,53.72566324869792,51.0
4500,54.639302571614586,52.0
4750,55.54576822916667,53.0
5000,56.445804850260416,54.0
5250,57.342769368489584,55.0
5500,58.24547526041667,56.0
5750,59.15680745442708,56.0
6000,60.07225341796875,57.0
6250,60.98970133463542,58.0
6500,61.904720052083334,59.0
6750,62.81700032552083,60.0
7000,63.72956949869792,61.0
7250,64.64268798828125,62.0
7500,65.55787760416666,63.0
7750,66.47554931640624,64.0
8000,67.39347737630209,65.0
8250,68.31127522786458,66.0
8500,69.22869466145833,67.0
8750,70.14470621744792,67.0
9000,71.06079915364583,68.0
9250,71.97784016927083,69.0
9500,72.89455159505209,70.0
9750,73.81219889322917,71.0
10000,74.73130289713541,72.0
10250,75.65020345052083,73.0
10500,76.56924641927084,74.0
10750,77.48905843098959,75.0
11000,78.40814208984375,76.0
11250,79.32727864583333,77.0
11500,80.2472412109375,78.0
11750,81.16682942708333,78.0
12000,82.08555501302084,79.0
12250,83.00516764322917,80.0
12500,83.92451171875,81.0
12750,84.843701171875,82.0
13000,85.76497395833333,83.0
13250,86.68662923177084,84.0
13500,87.608544921875,85.0
13750,88.5306640625,86.0
14000,89.45234375,87.0
14250,90.37359212239583,88.0
14500,91.2953857421875,89.0
14750,92.2173583984375,90.0
15000,93.13841959635417,90.0
15250,94.06016438802084,91.0
15500,94.98251139322916,92.0
15750,95.90459798177083,93.0
16000,96.82738444010417,94.0
16250,97.7517822265625,95.0
16500,98.67582194010417,96.0
16750,99.5998291015625,97.0
17000,100.52430826822916,98.0
17250,101.44860026041667,99.0
17500,102.3724853515625,100.0
17750,103.29689127604166,101.0
18000,104.221826171875,102.0
18250,105.14598795572917,102.0
18500,106.07076009114583,103.0
18750,106.99628092447917,104.0
19000,107.92184244791666,105.0
19250,108.84723307291667,106.0
19500,109.77400716145833,107.0
19750,110.70074869791667,108.0
20000,111.6274658203125,109.0
20250,112.5546630859375,110.0
20500,113.4816650390625,111.0
20750,114.40840657552083,112.0
21000,115.33560384114584,113.0
21250,116.26353352864584,114.0
21500,117.19169108072917,114.0
21750,118.11942545572917,115.0
22000,119.04832356770834,116.0
22250,119.97708333333334,117.0
22500,120.9052490234375,118.0
22750,121.833984375,119.0
23000,122.763916015625,120.0
23250,123.6936767578125,121.0
23500,124.6234375,122.0
23750,125.55367024739583,123.0
24000,126.4839599609375,124.0
24250,127.4140869140625,125.0
24500,128.34483235677084,126.0
24750,129.27635091145834,127.0
25000,130.20841471354169,128.0
25250,131.13949381510417,128.0
25500,132.07127278645834,129.0
25750,133.00332845052083,130.0
26000,133.935205078125,131.0
26250,134.8668701171875,132.0
26500,135.79994303385416,133.0
26750,136.73313802083334,134.0
27000,137.66656087239585,135.0
27250,138.60020345052084,136.0
27500,139.53435872395835,137.0
27750,140.46854654947916,138.0
28000,141.40281575520834,139.0
28250,142.3376220703125,140.0
28500,143.2726318359375,141.0
28750,144.20782877604168,142.0
29000,145.14236653645833,142.0
29250,146.07776692708333,143.0
29500,147.01334635416666,144.0
29750,147.94878743489582,145.0
30000,148.88401692708334,146.0
30250,149.820703125,147.0
30500,150.75784505208333,148.0
30750,151.69513346354168,149.0
31000,152.632763671875,150.0
31250,153.570947265625,151.0
31500,154.50924479166667,152.0
31750,155.44724934895834,153.0
32000,156.3853515625,154.0
32250,157.32400716145833,155.0
32500,158.2630859375,156.0
32750,159.20201822916667,157.0
33000,160.14046223958334,157.0
33250,161.07975260416666,158.0
33500,162.01935221354168,159.0
33750,162.95901692708333,160.0
34000,163.89861653645832,161.0
34250,164.83948567708333,162.0
34500,165.781103515625,163.0
34750,166.72288411458334,164.0
35000,167.66495768229166,165.0
35250,168.60685221354166,166.0
35500,169.54910481770833,167.0
35750,170.49130859375,168.0
36000,171.43343098958334,169.0
36250,172.37589518229166,170.0
36500,173.31873372395833,171.0
36750,174.26188151041666,172.0
37000,175.20504557291667,173.0
37250,176.147900390625,173.0
37500,177.09168294270833,174.0
37750,178.03570963541668,175.0
38000,178.97999674479166,176.0
38250,179.924169921875,177.0
38500,180.86886393229167,178.0
38750,181.81448567708333,179.0
39000,182.76017252604166,180.0
39250,183.70602213541667,181.0
39500,184.652197265625,182.0
39750,185.598583984375,183.0
40000,186.54514973958334,184.0
40250,187.49181315104167,185.0
40500,188.43844401041667,186.0
40750,189.38551432291666,187.0
41000,190.33308919270834,188.0
41250,191.28092447916666,189.0
41500,192.22916666666666,190.0
41750,193.17688802083333,190.0
42000,194.12522786458334,191.0
42250,195.0740234375,192.0
42500,196.02281901041667,193.0
42750,196.971630859375,194.0
43000,197.92032877604166,195.0
43250,198.86974283854167,196.0
43500,199.81982421875,197.0
43750,200.77003580729166,198.0
44000,201.72037760416666,199.0
44250,202.671142578125,200.0
44500,203.62177734375,201.0
44750,204.57293294270832,202.0
45000,205.52418619791666,203.0
45250,206.475634765625,204.0
45500,207.42737630208333,205.0
45750,208.37957356770832,206.0
46000,209.33216145833333,207.0
46250,210.28512369791667,208.0
46500,211.23818359375,209.0
46750,212.19090169270834,209.0
47000,213.14396158854166,210.0
47250,214.09755859375,211.0
47500,215.051318359375,212.0
47750,216.005078125,213.0
48000,216.958935546875,214.0
48250,217.91271158854167,215.0
48500,218.867431640625,216.0
48750,219.82265625,217.0
49000,220.77799479166666,218.0
49250,221.73349609375,219.0
49500,222.68951822916668,220.0
49750,223.645458984375,221.0
50000,224.60185546875,222.0
50250,225.5583984375,223.0
50500,226.51502278645833,224.0
50750,227.47171223958333,225.0
51000,228.42859700520833,226.0
51250,229.38583984375,227.0
51500,230.343359375,228.0
