h,validity_variant,estimator,Pc_short,Pc_long,a_h,gate_|a-1|<=0.10
26,V0_base_12col,median,0.0029098502534832815,0.0030690535700105825,1.0453565152621345,True
26,V0_base_12col,mean,0.002889557182232706,0.003066288174101867,1.052894946179529,True
26,V1_window_x,median,0.0029011574632021864,0.003069721160595229,1.0500593239512621,True
26,V1_window_x,mean,0.0028826381721030266,0.003069599079889322,1.0588495857490787,True
26,V2_positional,median,0.0029030947573567556,0.003069721160595229,1.049129618214757,True
26,V2_positional,mean,0.002887706812274443,0.003069599079889322,1.0564171498525818,True
26,V3_gradient,median,0.0029145344798483797,0.003069721160595229,1.0436397055964746,True
26,V3_gradient,mean,0.002909695449373594,0.003069599079889322,1.0458648225249003,True
26,V3_r2_090,median,0.002922923693888746,0.003069721160595229,1.0396137292625731,True
26,V3_r2_090,mean,0.0029237402679374285,0.003069599079889322,1.039124726625587,True
40,V0_base_12col,median,0.0017782136404537463,0.001936421129575927,1.087965934364684,True
40,V0_base_12col,mean,0.0017504680859543643,0.0019394828956557765,1.1205764618578102,False
40,V1_window_x,median,0.0017677612493602335,0.0019344454993629467,1.0955882808126887,True
40,V1_window_x,mean,0.0017357711046815216,0.0019359403382722712,1.1301547091440034,False
40,V2_positional,median,0.0017736380040781763,0.0019344454993629467,1.0896474600152983,True
40,V2_positional,mean,0.0017640087683798464,0.0019359403382722712,1.1016092094898267,False
40,V3_gradient,median,0.0017931757618345756,0.0019344454993629467,1.0698967092720006,True
40,V3_gradient,mean,0.0017766382231900874,0.0019359403382722712,1.0888420733071136,True
40,V3_r2_090,median,0.001797873629970581,0.0019344454993629467,1.0651476268165825,True
40,V3_r2_090,mean,0.001797873629970581,0.0019359403382722712,1.0673751664346147,True
