step,umax,Pc,n_mixed,n_liq,n_gas
250,0.022205723449587822,0.0016794800758361816,12,56,172
500,0.019791072234511375,-0.00010821223258972168,18,54,168
750,0.01978750340640545,0.0006904006004333496,26,50,164
1000,0.020926667377352715,0.0014678239822387695,32,48,160
1250,0.021706216037273407,0.00022199749946594238,34,48,158
1500,0.025604741647839546,0.0018199682235717773,34,48,158
1750,0.02487930655479431,0.0004983246326446533,36,48,156
2000,0.025819873437285423,0.0013851523399353027,36,48,156
2250,0.02511661686003208,0.0012516975402832031,36,48,156
2500,0.025179674848914146,0.0007807314395904541,40,46,154
2750,0.02587549015879631,0.0015780925750732422,40,46,154
3000,0.025482211261987686,0.0007387697696685791,40,46,154
3250,0.025452440604567528,0.0014170408248901367,40,46,154
3500,0.025204969570040703,0.0011102259159088135,40,46,154
3750,0.025336146354675293,0.0010493099689483643,40,46,154
4000,0.025430822744965553,0.0013819336891174316,40,46,154
4250,0.02519148588180542,0.0009298324584960938,40,46,154
4500,0.02533373236656189,0.0013598799705505371,39,47,154
4750,0.025353234261274338,0.0010782182216644287,39,47,154
5000,0.02613246999680996,0.0011675655841827393,39,47,154
5250,0.02578582987189293,0.0012659430503845215,39,47,154
5500,0.025568939745426178,0.0010592341423034668,40,46,154
5750,0.0254310742020607,0.0013037621974945068,40,46,154
6000,0.025411328300833702,0.001098036766052246,40,46,154
6250,0.025494618341326714,0.0012164115905761719,40,46,154
6500,0.025516264140605927,0.0012042522430419922,40,46,154
6750,0.025576788932085037,0.0011329948902130127,40,46,154
7000,0.025607282295823097,0.0012530684471130371,40,46,154
7250,0.025600338354706764,0.0011275410652160645,40,46,154
7500,0.02561579830944538,0.0012219548225402832,40,46,154
7750,0.025576841086149216,0.001177281141281128,40,46,154
8000,0.02556733787059784,0.0011687874794006348,40,46,154
8250,0.02553885616362095,0.0012162625789642334,40,46,154
8500,0.025506766512989998,0.0011510252952575684,40,46,154
8750,0.025484805926680565,0.0012113749980926514,40,46,154
9000,0.025445343926548958,0.0011700987815856934,39,47,154
9250,0.02542879804968834,0.0011830031871795654,39,47,154
9500,0.02539740689098835,0.0011948943138122559,40,46,154
9750,0.025372521951794624,0.0011659860610961914,40,46,154
10000,0.025356780737638474,0.0011990368366241455,40,46,154
10250,0.025421420112252235,0.0011703073978424072,40,46,154
10500,0.025424528867006302,0.0011860430240631104,40,46,154
10750,0.025499418377876282,0.0011835694313049316,40,46,154
11000,0.025490516796708107,0.0011743605136871338,40,46,154
11250,0.025280142202973366,0.0011896491050720215,40,46,154
11500,0.02520042657852173,0.001172095537185669,40,46,154
11750,0.025188038125634193,0.0011848211288452148,40,46,154
12000,0.025214552879333496,0.0011783838272094727,40,46,154
12250,0.025246180593967438,0.0011771023273468018,40,46,154
12500,0.02527022920548916,0.0011839866638183594,40,46,154
12750,0.025287209078669548,0.0011748671531677246,40,46,154
13000,0.02529800310730934,0.0011832714080810547,40,46,154
