t,V_bin,V_cont,gas_mass_proxy,n_clusters,largest,rho_gas_mean,p_gas_mean,G_bulk,env_L,env_R,buf_gas_L,buf_gas_R,rho_min_bulk,rho_max_bulk,umax,urms,rho_min_allfluid,rho_max_allfluid
1000,38304,38287.98828125,38421.42578125,1,38304,1.00345778465271,0.33448592821757,146,80,245,240,240,0.9340126514434814,1.007091760635376,0.025472765788435936,0.0015452641528099775,0.8850938677787781,1.007091760635376
2000,38352,38293.3828125,38429.94140625,1,38352,1.0034176111221313,0.33447253704071045,146,79,246,264,264,0.9355378746986389,1.00749671459198,0.025035034865140915,0.0015022120205685496,0.8885394930839539,1.00749671459198
3000,38376,38310.88671875,38436.765625,1,38376,1.0031139850616455,0.33437132835388184,146,79,246,276,276,0.938829243183136,1.0069499015808105,0.025089669972658157,0.001500911545008421,0.8879733681678772,1.0069499015808105
4000,38376,38313.171875,38442.55078125,1,38376,1.003211259841919,0.33440375328063965,146,79,246,276,276,0.9391394853591919,1.0071181058883667,0.025130165740847588,0.0014978601830080152,0.8880195021629333,1.0071181058883667
5000,38376,38315.56640625,38447.703125,1,38376,1.0032894611358643,0.3344298203786214,146,79,246,276,276,0.9388797879219055,1.0071049928665161,0.02514534629881382,0.001500438549555838,0.8880806565284729,1.0071049928665161
6000,38376,38320.953125,38452.3984375,1,38376,1.0032868385314941,0.33442894617716473,146,79,246,276,276,0.938145637512207,1.0071239471435547,0.025156689807772636,0.0015010407660156488,0.8884460926055908,1.0071239471435547
7000,38376,38325.0078125,38456.72265625,1,38376,1.003305435180664,0.3344351450602214,146,79,246,276,276,0.937648355960846,1.007132887840271,0.025171183049678802,0.001501124002970755,0.8886775970458984,1.007132887840271
8000,38376,38328.12109375,38460.76953125,1,38376,1.0033390522003174,0.33444635073343915,146,79,246,276,276,0.9372768998146057,1.0071511268615723,0.02518252469599247,0.0015016193501651287,0.8888616561889648,1.0071511268615723
9000,38376,38331.296875,38464.5703125,1,38376,1.0033648014068604,0.3344549338022868,146,79,246,276,276,0.9368582963943481,1.0071648359298706,0.02519836835563183,0.0015020796563476324,0.8890532851219177,1.0071648359298706
10000,38376,38334.296875,38468.171875,1,38376,1.0033894777297974,0.3344631592432658,146,79,246,276,276,0.9362976551055908,1.0071873664855957,0.025284966453909874,0.001501905731856823,0.88933265209198,1.0071873664855957
11000,38376,38336.984375,38471.58203125,1,38376,1.0034164190292358,0.33447213967641193,146,79,246,276,276,0.9357824921607971,1.0071873664855957,0.025202838703989983,0.0015014167875051498,0.8895459771156311,1.0071873664855957
12000,38376,38339.50390625,38474.81640625,1,38376,1.0034430027008057,0.33448100090026855,146,79,246,276,276,0.9352948069572449,1.0074055194854736,0.025225982069969177,0.001501781982369721,0.8898031711578369,1.0074055194854736
13000,38376,38341.90234375,38477.8828125,1,38376,1.0034677982330322,0.3344892660776774,146,79,246,276,276,0.943366527557373,1.0072135925292969,0.025261422619223595,0.0015012950170785189,0.8900091648101807,1.0072135925292969
14000,38376,38344.1640625,38480.80078125,1,38376,1.0034915208816528,0.3344971736272176,146,79,246,276,276,0.9381558895111084,1.0071792602539062,0.025330128148198128,0.0015016869874671102,0.8902449011802673,1.0071792602539062
15000,38376,38346.2265625,38483.5625,1,38376,1.0035165548324585,0.33450551827748615,146,79,246,276,276,0.9385021328926086,1.0074442625045776,0.02529238909482956,0.0015014511300250888,0.8904086947441101,1.0074442625045776
16000,38376,38348.1640625,38486.171875,1,38376,1.003540277481079,0.33451342582702637,146,79,246,276,276,0.9389166235923767,1.007609248161316,0.025186097249388695,0.001500911545008421,0.8905681371688843,1.007609248161316
17000,38376,38350.0078125,38488.640625,1,38376,1.0035622119903564,0.33452073733011883,146,79,246,276,276,0.9392712712287903,1.007415771484375,0.025333363562822342,0.0015015045646578074,0.8904827833175659,1.007415771484375
18000,38376,38351.7109375,38490.97265625,1,38376,1.003583550453186,0.334527850151062,146,79,246,276,276,0.9396295547485352,1.0074043273925781,0.025211511179804802,0.0015019262209534645,0.8904100656509399,1.0074043273925781
19000,38376,38353.28125,38493.1953125,1,38376,1.0036057233810425,0.33453524112701416,146,79,246,276,276,0.9399547576904297,1.0076099634170532,0.02527310885488987,0.0015015298267826438,0.8903359770774841,1.0076099634170532
20000,38376,38354.75390625,38495.3125,1,38376,1.0036273002624512,0.3345424334208171,146,79,246,276,276,0.9402573108673096,1.0076396465301514,0.025361381471157074,0.0015017461264505982,0.8902716636657715,1.0076396465301514
21000,38376,38356.1640625,38497.34375,1,38376,1.003647804260254,0.3345492680867513,146,79,246,276,276,0.9405282735824585,1.0076024532318115,0.025251585990190506,0.0015008895425125957,0.8902121782302856,1.0076024532318115
22000,38376,38357.4453125,38499.28515625,1,38376,1.0036689043045044,0.3345563014348348,146,79,246,276,276,0.9405927062034607,1.007643222808838,0.025233827531337738,0.0015012235380709171,0.8901588916778564,1.007643222808838
23000,38376,38358.68359375,38501.16015625,1,38376,1.0036892890930176,0.3345630963643392,146,79,246,276,276,0.9403765201568604,1.0076591968536377,0.025252435356378555,0.0015011286595836282,0.890110433101654,1.0076591968536377
24000,38376,38359.859375,38502.9375,1,38376,1.003708004951477,0.3345693349838257,146,79,246,276,276,0.9402179718017578,1.0075485706329346,0.025250423699617386,0.0015024772146716714,0.8900673985481262,1.0075485706329346
25000,38376,38360.9140625,38504.6484375,1,38376,1.0037285089492798,0.33457616964975995,146,79,246,276,276,0.9400454163551331,1.0076390504837036,0.025245146825909615,0.0015025713946670294,0.8900296092033386,1.0076390504837036
26000,38376,38361.8984375,38506.28125,1,38376,1.0037480592727661,0.33458268642425537,146,79,246,276,276,0.9398745894432068,1.0076502561569214,0.025308020412921906,0.0015019731363281608,0.8899940252304077,1.0076502561569214
27000,38376,38362.828125,38507.83203125,1,38376,1.0037670135498047,0.33458900451660156,146,79,246,276,276,0.9397259950637817,1.0076626539230347,0.025435209274291992,0.001502897939644754,0.8899653553962708,1.0076626539230347
28000,38376,38363.7265625,38509.3203125,1,38376,1.0037851333618164,0.3345950444539388,146,79,246,276,276,0.9396248459815979,1.0076860189437866,0.02543436549603939,0.0015034079551696777,0.8899473547935486,1.0076860189437866
29000,38376,38364.5078125,38510.73828125,1,38376,1.0038037300109863,0.3346012433369954,146,79,246,276,276,0.9395164847373962,1.0076295137405396,0.02519768849015236,0.0015024443855509162,0.8899279832839966,1.0076295137405396
30000,38376,38365.25390625,38512.08984375,1,38376,1.003821611404419,0.33460720380147296,146,79,246,276,276,0.9394167065620422,1.0077122449874878,0.025259776040911674,0.0015023373998701572,0.8899072408676147,1.0077122449874878
31000,38376,38365.921875,38513.37109375,1,38376,1.003839373588562,0.3346131245295207,146,79,246,276,276,0.9393160939216614,1.0076195001602173,0.02519073151051998,0.0015010812785476446,0.8898963332176208,1.0076195001602173
32000,38388,38366.5703125,38514.60546875,1,38388,1.003820538520813,0.3346068461736043,146,79,246,288,276,0.939227819442749,1.0076457262039185,0.025163274258375168,0.0015026265755295753,0.8898952007293701,1.0076457262039185
33000,38400,38367.171875,38515.80078125,1,38400,1.0038022994995117,0.3346007664998372,146,79,246,288,288,0.9391443729400635,1.0077043771743774,0.02518509514629841,0.0015029774513095617,0.8899251222610474,1.0077043771743774
34000,38400,38367.71875,38516.94140625,1,38400,1.0038193464279175,0.33460644880930585,146,79,246,288,288,0.939069926738739,1.0077145099639893,0.0251820869743824,0.0015027296030893922,0.8899888396263123,1.0077145099639893
35000,38400,38368.22265625,38518.0546875,1,38400,1.0038363933563232,0.3346121311187744,146,79,246,288,288,0.9389980435371399,1.0076719522476196,0.025173120200634003,0.001502451254054904,0.8900426030158997,1.0076719522476196
36000,38400,38368.7265625,38519.1484375,1,38400,1.0038533210754395,0.33461777369181317,146,79,246,288,288,0.9389399886131287,1.0076875686645508,0.02517218142747879,0.0015020244754850864,0.8900912404060364,1.0076875686645508
37000,38400,38369.1953125,38520.23046875,1,38400,1.0038704872131348,0.3346234957377116,146,79,246,288,288,0.9388990998268127,1.007704257965088,0.025174301117658615,0.0015017419354990125,0.8901259899139404,1.007704257965088
38000,38400,38369.64453125,38521.26953125,1,38400,1.0038865804672241,0.3346288601557414,146,79,246,288,288,0.9388871192932129,1.0077197551727295,0.025176702067255974,0.0015024085296317935,0.8901564478874207,1.0077197551727295
39000,38400,38370.05859375,38522.28515625,1,38400,1.0039035081863403,0.3346345027287801,146,79,246,288,288,0.9388565421104431,1.007736086845398,0.025229699909687042,0.0015020343707874417,0.8901899456977844,1.007736086845398
40000,38400,38370.4453125,38523.28125,1,38400,1.0039206743240356,0.33464022477467853,146,79,246,288,288,0.9388111233711243,1.0078105926513672,0.02521691285073757,0.0015020373975858092,0.8902277946472168,1.0078105926513672
41000,38400,38370.79296875,38524.2421875,1,38400,1.0039372444152832,0.33464574813842773,146,79,246,288,288,0.9387753009796143,1.0077961683273315,0.025246091187000275,0.0015020393766462803,0.8902720808982849,1.0077961683273315
42000,38400,38371.12890625,38525.1796875,1,38400,1.0039539337158203,0.33465131123860675,146,79,246,288,288,0.9387386441230774,1.007836103439331,0.025134749710559845,0.0015026020118966699,0.8903070092201233,1.007836103439331
43000,38400,38371.453125,38526.109375,1,38400,1.003970742225647,0.33465691407521564,146,79,246,288,288,0.9386864900588989,1.007851243019104,0.025289472192525864,0.0015023647574707866,0.8903467655181885,1.007851243019104
