x,psi_midslice
0,0.0
1,0.0
2,0.0
3,-1.0004408359527588
4,-1.0004316568374634
5,-1.0004419088363647
6,-1.0004527568817139
7,-1.0004245042800903
8,-1.0004092454910278
9,-1.0004432201385498
10,-1.0004630088806152
11,-1.000428557395935
12,-1.0004090070724487
13,-1.000441312789917
14,-1.0004607439041138
15,-1.0004321336746216
16,-1.0004138946533203
17,-1.0004395246505737
18,-1.0004565715789795
19,-1.0004346370697021
20,-1.00041925907135
21,-1.0004377365112305
22,-1.0004515647888184
23,-1.0004370212554932
24,-1.0004255771636963
25,-1.0004359483718872
26,-1.0004446506500244
27,-1.000438928604126
28,-1.000434160232544
29,-1.0004340410232544
30,-1.0004347562789917
31,-1.0004404783248901
32,-1.0004444122314453
33,-1.0004335641860962
34,-1.0004262924194336
35,-1.0004419088363647
36,-1.0004526376724243
37,-1.0004323720932007
38,-1.000420331954956
39,-1.0004442930221558
40,-1.0004587173461914
41,-1.0004295110702515
42,-1.0004148483276367
43,-1.000448226928711
44,-1.0004651546478271
45,-1.000425100326538
46,-1.0004088878631592
47,-1.000453233718872
48,-1.0004724264144897
49,-1.000420331954956
50,-1.0004026889801025
51,-1.0004587173461914
52,-1.0004796981811523
53,-1.0004165172576904
54,-1.000396966934204
55,-1.0004632472991943
56,-1.0004864931106567
57,-1.0004149675369263
58,-1.0003920793533325
59,-1.0004663467407227
60,-1.000493049621582
61,-1.0004154443740845
62,-1.0003894567489624
63,-1.0004692077636719
64,-1.0004971027374268
65,-1.0004210472106934
66,-1.0003907680511475
67,-1.0004669427871704
68,-1.0004963874816895
69,-1.0004419088363647
70,-1.000403881072998
71,-1.0004498958587646
72,-1.0004870891571045
73,-1.000458002090454
74,-1.0004278421401978
75,-1.0004446506500244
76,-1.0004713535308838
77,-1.0004676580429077
78,-1.0001503229141235
79,-0.9394230842590332
80,-0.6040176153182983
81,-0.1771191656589508
82,0.08208917826414108
83,0.2761165499687195
84,0.4384787678718567
85,0.5777601003646851
86,0.696205735206604
87,0.7952455878257751
88,0.872341513633728
89,0.928790271282196
90,0.9679204821586609
91,0.9868314862251282
92,0.9938216209411621
93,0.9952374696731567
94,0.9963201284408569
95,0.9972606897354126
96,0.9979881048202515
97,0.998548686504364
98,0.998996376991272
99,0.9993537664413452
100,0.9996298551559448
101,0.9998369216918945
102,0.9999879002571106
103,1.000084400177002
104,1.0001351833343506
105,1.0001660585403442
106,1.000187873840332
107,1.0001919269561768
108,1.0001686811447144
109,1.0001718997955322
110,1.0002009868621826
111,1.0002018213272095
112,1.0001641511917114
113,1.000167727470398
114,1.000211477279663
115,1.0002119541168213
116,1.0001581907272339
117,1.000160813331604
118,1.0002187490463257
119,1.0002199411392212
120,1.000152587890625
121,1.0001537799835205
122,1.0002232789993286
123,1.0002241134643555
124,1.0001485347747803
125,1.0001490116119385
126,1.0002257823944092
127,1.0002269744873047
128,1.0001440048217773
129,1.0001442432403564
130,1.0002281665802002
131,1.0002281665802002
132,1.000144600868225
133,1.0001442432403564
134,1.0002262592315674
135,1.000225305557251
136,1.000148057937622
137,1.0001475811004639
138,1.0002243518829346
139,1.0002241134643555
140,1.0001484155654907
141,1.0001484155654907
142,1.0002237558364868
143,1.0002237558364868
144,1.0001484155654907
145,1.0001484155654907
146,1.0002235174179077
147,1.0002233982086182
148,1.0001484155654907
149,1.0001484155654907
150,1.0002233982086182
151,1.0002233982086182
152,1.0001482963562012
153,1.0001482963562012
154,1.000223159790039
155,1.000223159790039
156,1.0001481771469116
157,1.0001481771469116
158,1.000223159790039
159,1.000223159790039
160,1.000148057937622
161,1.000148057937622
162,1.000223159790039
163,1.000223159790039
164,1.000148057937622
165,1.000148057937622
166,1.000223159790039
167,1.000223159790039
168,1.000148057937622
169,1.000148057937622
170,1.000223159790039
171,1.000223159790039
172,1.000148057937622
173,1.000148057937622
174,1.000223159790039
175,1.000223159790039
176,1.0001481771469116
177,1.0001481771469116
178,1.000223159790039
179,1.000223159790039
180,1.0001481771469116
181,1.0001481771469116
182,1.0002233982086182
183,1.0002233982086182
184,1.0001481771469116
185,1.0001481771469116
186,1.0002233982086182
187,1.0002235174179077
188,1.0001482963562012
189,1.0001481771469116
190,1.0002236366271973
191,1.0002237558364868
192,1.0001484155654907
193,1.0001484155654907
194,1.000223994255066
195,1.0002241134643555
196,1.0001481771469116
197,1.0001484155654907
198,1.0002244710922241
199,1.0002244710922241
200,1.0001484155654907
201,1.0001482963562012
202,1.0002248287200928
203,1.0002248287200928
204,1.0001493692398071
205,1.0001487731933594
206,1.0002243518829346
207,1.000224232673645
208,1.000152349472046
209,1.0001506805419922
210,1.000221610069275
211,1.000221610069275
212,1.000157117843628
213,1.0001543760299683
214,1.000215768814087
215,1.0002152919769287
216,1.0001617670059204
217,1.0001580715179443
218,1.0002061128616333
219,1.000204086303711
220,1.0001602172851562
221,1.0001213550567627
222,1.0000900030136108
223,1.0000019073486328
224,0.9998337030410767
225,0.9996128082275391
226,0.999346137046814
227,0.9989994168281555
228,0.9985391497612
229,0.9979674220085144
230,0.9972527623176575
231,0.9963224530220032
232,0.9952287673950195
233,0.9938095211982727
234,0.9868294596672058
235,0.9679061770439148
236,0.9287929534912109
237,0.8722494840621948
238,0.7952789068222046
239,0.6962283253669739
240,0.577684223651886
241,0.4383760392665863
242,0.2759832441806793
243,0.08184187114238739
244,-0.17752881348133087
245,-0.6045334935188293
246,-0.9396864175796509
247,-1.000140905380249
248,-1.000455617904663
249,-1.0004611015319824
250,-1.0004440546035767
251,-1.0004441738128662
252,-1.0004422664642334
253,-1.0004475116729736
254,-1.0004558563232422
255,-1.000453233718872
256,-1.000425934791565
257,-1.0004324913024902
258,-1.0004701614379883
259,-1.000472068786621
260,-1.0004066228866577
261,-1.000408411026001
262,-1.0004854202270508
263,-1.0004866123199463
264,-1.0003890991210938
265,-1.000390648841858
266,-1.0004974603652954
267,-1.0004994869232178
268,-1.000373125076294
269,-1.0003750324249268
270,-1.00050950050354
271,-1.0005120038986206
272,-1.0003597736358643
273,-1.0003608465194702
274,-1.000518560409546
275,-1.0005199909210205
276,-1.0003514289855957
277,-1.000351905822754
278,-1.0005228519439697
279,-1.000523328781128
280,-1.0003470182418823
281,-1.0003472566604614
282,-1.0005244016647339
283,-1.0005242824554443
284,-1.00034499168396
285,-1.0003448724746704
286,-1.0005247592926025
287,-1.0005241632461548
288,-1.0003448724746704
289,-1.0003445148468018
290,-1.0005238056182861
291,-1.000523328781128
292,-1.0003445148468018
293,-1.0003445148468018
294,-1.0005232095718384
295,-1.000523328781128
296,-1.0003427267074585
297,-1.0003429651260376
298,-1.0005232095718384
299,-1.0005236864089966
300,-1.0003414154052734
301,-1.0003416538238525
302,-1.0005228519439697
303,-1.0005229711532593
304,-1.000342607498169
305,-1.0003423690795898
306,-1.0005213022232056
